Frame,Time [s],Period,Home_7_x,Home_7_y,Home_9_x,Home_9_y,Away_4_x,Away_4_y,Away_10_x,Away_10_y,ball_x,ball_y
75,7.4,1,0.42,0.47,0.51,0.52,0.58,0.48,0.64,0.54,0.48,0.50
76,7.5,1,0.41,0.47,0.50,0.52,0.57,0.48,0.63,0.54,0.47,0.50
77,7.6,1,0.40,0.47,0.49,0.51,0.56,0.48,0.62,0.54,0.46,0.50
78,7.7,1,0.39,0.47,0.49,0.51,0.55,0.48,0.61,0.53,0.45,0.50
79,7.8,1,0.38,0.47,0.48,0.50,0.54,0.48,0.60,0.53,0.44,0.49
80,7.9,1,0.36,0.46,0.47,0.50,0.52,0.47,0.59,0.53,0.43,0.49
81,8.0,1,0.35,0.46,0.46,0.50,0.51,0.47,0.59,0.52,0.42,0.49
82,8.1,1,0.34,0.46,0.45,0.49,0.50,0.47,0.58,0.52,0.41,0.49
83,8.2,1,0.33,0.46,0.44,0.49,0.49,0.47,0.57,0.52,0.40,0.48
84,8.3,1,0.32,0.46,0.43,0.49,0.48,0.47,0.56,0.52,0.39,0.48
85,8.4,1,0.31,0.46,0.42,0.48,0.47,0.47,0.55,0.51,0.38,0.48
86,8.5,1,0.30,0.45,0.41,0.48,0.46,0.46,0.54,0.51,0.37,0.47
87,8.6,1,0.28,0.45,0.40,0.48,0.44,0.46,0.53,0.51,0.36,0.47
88,8.7,1,0.27,0.45,0.39,0.47,0.43,0.46,0.53,0.51,0.35,0.47
89,8.8,1,0.26,0.45,0.38,0.47,0.42,0.46,0.52,0.50,0.34,0.47
90,8.9,1,0.25,0.44,0.37,0.47,0.41,0.46,0.51,0.50,0.33,0.46
91,9.0,1,0.24,0.44,0.36,0.47,0.40,0.45,0.50,0.50,0.32,0.46
92,9.1,1,0.23,0.44,0.35,0.47,0.39,0.45,0.49,0.50,0.31,0.46
93,9.2,1,0.22,0.43,0.34,0.46,0.38,0.45,0.48,0.50,0.30,0.46
94,9.3,1,0.21,0.43,0.33,0.46,0.37,0.45,0.47,0.49,0.29,0.45
95,9.4,1,0.20,0.43,0.32,0.46,0.36,0.45,0.46,0.49,0.28,0.45
96,9.5,1,0.19,0.42,0.31,0.46,0.35,0.44,0.45,0.49,0.27,0.45
97,9.6,1,0.17,0.42,0.30,0.46,0.34,0.44,0.44,0.49,0.26,0.45
98,9.7,1,0.16,0.41,0.29,0.46,0.33,0.44,0.43,0.49,0.25,0.44
99,9.8,1,0.15,0.41,0.27,0.45,0.32,0.44,0.42,0.49,0.24,0.44
100,9.9,1,0.14,0.41,0.26,0.45,0.31,0.43,0.41,0.48,0.23,0.44
101,10.0,1,0.14,0.40,0.25,0.45,0.31,0.43,0.40,0.48,0.22,0.44
102,10.1,1,0.13,0.40,0.24,0.45,0.30,0.43,0.39,0.48,0.21,0.43
103,10.2,1,0.12,0.39,0.23,0.45,0.29,0.43,0.38,0.48,0.20,0.43
104,10.3,1,0.13,0.40,0.24,0.46,0.31,0.44,0.39,0.49,0.22,0.44
105,10.4,1,0.15,0.41,0.26,0.47,0.32,0.45,0.40,0.50,0.23,0.45
106,10.5,1,0.17,0.42,0.27,0.48,0.34,0.46,0.42,0.51,0.25,0.46
107,10.6,1,0.18,0.43,0.29,0.49,0.36,0.47,0.43,0.52,0.26,0.47
108,10.7,1,0.20,0.44,0.30,0.50,0.37,0.47,0.45,0.53,0.28,0.48
109,10.8,1,0.22,0.45,0.32,0.51,0.39,0.48,0.46,0.54,0.29,0.49
110,10.9,1,0.23,0.46,0.33,0.52,0.41,0.49,0.48,0.55,0.31,0.50
111,11.0,1,0.25,0.46,0.35,0.53,0.43,0.50,0.49,0.56,0.33,0.50
112,11.1,1,0.27,0.47,0.36,0.53,0.45,0.50,0.50,0.56,0.34,0.51
113,11.2,1,0.29,0.48,0.38,0.54,0.46,0.51,0.52,0.57,0.36,0.52
114,11.3,1,0.30,0.48,0.39,0.55,0.48,0.51,0.53,0.58,0.37,0.52
115,11.4,1,0.32,0.49,0.41,0.55,0.50,0.52,0.55,0.58,0.39,0.52
116,11.5,1,0.34,0.49,0.42,0.55,0.51,0.52,0.56,0.58,0.40,0.53
117,11.6,1,0.36,0.49,0.44,0.55,0.53,0.52,0.57,0.58,0.42,0.53
118,11.7,1,0.37,0.50,0.45,0.55,0.55,0.52,0.59,0.58,0.44,0.53
119,11.8,1,0.39,0.50,0.47,0.55,0.57,0.52,0.60,0.58,0.45,0.53
120,11.9,1,0.41,0.50,0.49,0.55,0.58,0.52,0.62,0.58,0.47,0.53
121,12.0,1,0.42,0.50,0.50,0.55,0.60,0.51,0.63,0.58,0.48,0.53
122,12.1,1,0.44,0.49,0.52,0.54,0.62,0.51,0.65,0.57,0.50,0.52
123,12.2,1,0.46,0.49,0.53,0.54,0.63,0.50,0.66,0.57,0.52,0.52
124,12.3,1,0.47,0.49,0.55,0.53,0.65,0.50,0.68,0.56,0.53,0.51
125,12.4,1,0.49,0.48,0.57,0.52,0.66,0.49,0.69,0.55,0.55,0.51
126,12.5,1,0.51,0.48,0.58,0.51,0.68,0.48,0.70,0.55,0.56,0.50
127,12.6,1,0.52,0.47,0.60,0.51,0.70,0.47,0.72,0.54,0.58,0.49
128,12.7,1,0.54,0.46,0.61,0.50,0.71,0.46,0.73,0.53,0.59,0.48
129,12.8,1,0.55,0.45,0.63,0.49,0.73,0.45,0.75,0.52,0.61,0.47
130,12.9,1,0.57,0.44,0.65,0.47,0.74,0.44,0.77,0.51,0.63,0.46
131,13.0,1,0.58,0.44,0.66,0.46,0.76,0.43,0.78,0.50,0.64,0.46
132,13.1,1,0.60,0.43,0.68,0.45,0.77,0.42,0.80,0.48,0.66,0.45
133,13.2,1,0.61,0.41,0.70,0.44,0.79,0.41,0.81,0.47,0.67,0.43
134,13.3,1,0.62,0.44,0.70,0.46,0.79,0.43,0.82,0.49,0.68,0.46
135,13.4,1,0.61,0.45,0.69,0.47,0.78,0.44,0.81,0.51,0.67,0.47
136,13.5,1,0.60,0.46,0.68,0.49,0.77,0.46,0.80,0.52,0.66,0.48
137,13.6,1,0.59,0.47,0.68,0.50,0.76,0.47,0.79,0.53,0.65,0.49
138,13.7,1,0.57,0.48,0.67,0.51,0.74,0.48,0.78,0.54,0.64,0.50
139,13.8,1,0.56,0.49,0.66,0.52,0.73,0.49,0.77,0.55,0.63,0.51
140,13.9,1,0.55,0.50,0.65,0.53,0.72,0.50,0.77,0.56,0.62,0.52
141,14.0,1,0.54,0.51,0.64,0.54,0.71,0.51,0.76,0.57,0.61,0.53
142,14.1,1,0.53,0.51,0.64,0.55,0.70,0.51,0.75,0.58,0.60,0.54
143,14.2,1,0.52,0.52,0.63,0.56,0.69,0.52,0.74,0.58,0.59,0.55
144,14.3,1,0.51,0.52,0.62,0.56,0.68,0.53,0.73,0.59,0.58,0.56
145,14.4,1,0.50,0.53,0.61,0.57,0.67,0.53,0.73,0.60,0.58,0.56
146,14.5,1,0.49,0.53,0.60,0.57,0.66,0.54,0.72,0.60,0.57,0.56
147,14.6,1,0.48,0.53,0.60,0.58,0.65,0.54,0.71,0.60,0.56,0.57
148,14.7,1,0.47,0.53,0.59,0.58,0.64,0.54,0.70,0.61,0.55,0.57
149,14.8,1,0.46,0.53,0.58,0.58,0.63,0.54,0.70,0.61,0.54,0.57
150,14.9,1,0.45,0.53,0.57,0.58,0.62,0.54,0.69,0.61,0.53,0.57
151,15.0,1,0.44,0.53,0.56,0.58,0.61,0.54,0.68,0.61,0.52,0.57
152,15.1,1,0.43,0.52,0.55,0.58,0.60,0.54,0.67,0.61,0.51,0.56
153,15.2,1,0.42,0.52,0.55,0.58,0.59,0.54,0.67,0.60,0.50,0.56
154,15.3,1,0.41,0.51,0.54,0.57,0.58,0.53,0.66,0.60,0.49,0.55
155,15.4,1,0.40,0.51,0.53,0.57,0.57,0.53,0.65,0.59,0.49,0.55
156,15.5,1,0.39,0.50,0.52,0.56,0.56,0.52,0.64,0.59,0.48,0.54
157,15.6,1,0.38,0.49,0.51,0.55,0.55,0.51,0.64,0.58,0.47,0.53
158,15.7,1,0.37,0.48,0.50,0.55,0.54,0.50,0.63,0.57,0.46,0.52
159,15.8,1,0.37,0.48,0.49,0.54,0.53,0.49,0.62,0.56,0.45,0.51
160,15.9,1,0.36,0.47,0.48,0.53,0.52,0.48,0.61,0.55,0.44,0.50
161,16.0,1,0.35,0.46,0.47,0.52,0.51,0.47,0.61,0.54,0.43,0.49
162,16.1,1,0.34,0.45,0.46,0.50,0.51,0.46,0.60,0.53,0.42,0.48
163,16.2,1,0.33,0.44,0.45,0.49,0.50,0.45,0.59,0.52,0.41,0.47
164,16.3,1,0.33,0.42,0.44,0.48,0.49,0.44,0.58,0.51,0.40,0.46
165,16.4,1,0.32,0.41,0.43,0.47,0.48,0.43,0.57,0.50,0.40,0.44
166,16.5,1,0.31,0.40,0.42,0.46,0.48,0.42,0.57,0.49,0.39,0.43
167,16.6,1,0.30,0.39,0.41,0.44,0.47,0.41,0.56,0.47,0.38,0.42
168,16.7,1,0.30,0.38,0.40,0.43,0.46,0.40,0.55,0.46,0.37,0.41
169,16.8,1,0.29,0.37,0.39,0.42,0.45,0.39,0.54,0.45,0.36,0.40
170,16.9,1,0.28,0.36,0.38,0.41,0.45,0.38,0.53,0.44,0.35,0.39
171,17.0,1,0.27,0.35,0.37,0.40,0.44,0.37,0.52,0.43,0.34,0.38
172,17.1,1,0.27,0.35,0.36,0.39,0.43,0.36,0.51,0.42,0.33,0.37
173,17.2,1,0.26,0.34,0.35,0.38,0.42,0.35,0.50,0.41,0.32,0.36
174,17.3,1,0.25,0.33,0.34,0.37,0.42,0.35,0.49,0.41,0.31,0.35
175,17.4,1,0.24,0.32,0.33,0.36,0.41,0.34,0.48,0.40,0.31,0.35
176,17.5,1,0.24,0.32,0.32,0.35,0.40,0.33,0.47,0.39,0.30,0.34
177,17.6,1,0.23,0.32,0.31,0.35,0.39,0.33,0.46,0.39,0.29,0.34
178,17.7,1,0.22,0.31,0.30,0.34,0.39,0.33,0.45,0.38,0.28,0.33
179,17.8,1,0.21,0.31,0.29,0.34,0.38,0.33,0.44,0.38,0.27,0.33
180,17.9,1,0.20,0.31,0.28,0.34,0.37,0.33,0.43,0.38,0.26,0.33
